tr|A0A2H0FQ98|A0A2H0FQ98_9BACT	YgiQ|TPR_19|MT|TPR_19|GT-A	YgiQ(19-417)|TPR_19(407-464)|Methyltransf_11(621-697)|TPR_19(811-868)|Glyco_tranf_GTA_type(909-1145)
tr|A0A258FGS6|A0A258FGS6_9CAUL	type_IV_pilW|GT-A|GT-A|MT	type_IV_pilW(41-136)|GT2_RfbC_Mx_like(374-577)|GT_2_like_c(636-853)|AdoMet_MTases(1071-1105)
tr|A0A2P6TE77|A0A2P6TE77_CHLSO	TRF4|AMP_N|Prolidase|GT-A	TRF4(72-259)|AMP_N(533-634)|Prolidase(687-961)|GT_2_like_a(976-1211)
tr|A0A1V4HJD5|A0A1V4HJD5_9BACL	TPR_19|S_glycosyl_SunS|TPR_11	TPR_19(11-68)|S_glycosyl_SunS(95-362)|TPR_11(353-387)
tr|A0A0Q7J704|A0A0Q7J704_9BACL	TPR_19|GT-A|YfgC	TPR_19(11-79)|Beta4Glucosyltransferase(100-304)|YfgC(281-397)
tr|A0A2S6N111|A0A2S6N111_RHOGL	TPR_19|GT-A|GT-B	TPR_19(26-91)|Glyco_tranf_GTA_type(362-565)|Glycosyltransferase_GTB-type(689-1009)
tr|A0A1H8Q341|A0A1H8Q341_9BACL	TPR_16|S_glycosyl_SunS|PEP_TPR_lipo	TPR_16(3-57)|S_glycosyl_SunS(98-379)|PEP_TPR_lipo(345-464)
tr|A0A1I6WPY6|A0A1I6WPY6_9BACL	TPR_16|S_glycosyl_SunS	TPR_16(18-75)|S_glycosyl_SunS(95-390)
tr|A0A198AM41|A0A198AM41_9BACL	TPR_16|GT-A|PEP_TPR_lipo	TPR_16(8-67)|Beta4Glucosyltransferase(99-305)|PEP_TPR_lipo(277-424)
tr|A0A2P7EAX9|A0A2P7EAX9_9SYNE	TPR_12|GT-A	TPR_12(10-66)|Glyco_tranf_GTA_type(168-386)
tr|A0A1X0SVV5|A0A1X0SVV5_9RHIZ	TPR_11|PRK11447|GT-A|GT-A	TPR_11(97-138)|PRK11447(98-259)|Glyco_tranf_GTA_type(261-437)|Glyco_tranf_GTA_type(501-719)
tr|A0A0Q4FQN5|A0A0Q4FQN5_9SPHN	TPR_11|GT-A|GT-A	TPR_11(59-100)|GT2_RfbC_Mx_like(362-566)|GT_2_like_c(625-842)
tr|A0A2R6BWV1|A0A2R6BWV1_9ARCH	TMhelix|TMhelix|TMhelix|Transporter|TMhelix|TMhelix|DUF3539|GT-A	TMhelix(13-32)|TMhelix(42-64)|TMhelix(77-96)|RfbX(1-180)|TMhelix(101-123)|TMhelix(135-157)|DUF3539(291-343)|Glyco_tranf_GTA_type(322-520)
tr|A0A2A5LS39|A0A2A5LS39_9ALTE	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(15-37)|TMhelix(58-80)|TMhelix(90-107)|TMhelix(114-136)|TMhelix(156-177)|TMhelix(184-201)|TMhelix(206-223)|TMhelix(225-244)|TMhelix(254-276)|TMhelix(289-311)|TMhelix(315-337)|Beta4Glucosyltransferase(346-573)
tr|A0A2A5E3X7|A0A2A5E3X7_9BACT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|TMhelix	TMhelix(29-46)|TMhelix(61-80)|TMhelix(241-263)|TMhelix(285-307)|TMhelix(319-341)|TMhelix(351-373)|TMhelix(394-416)|TMhelix(429-451)|TMhelix(458-477)|TMhelix(487-506)|glyco_like_mftF(522-730)|TMhelix(734-753)
tr|A0A1Q8QK18|A0A1Q8QK18_9DELT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(27-44)|TMhelix(54-76)|TMhelix(151-173)|TMhelix(193-215)|TMhelix(222-244)|TMhelix(271-293)|TMhelix(300-322)|TMhelix(327-349)|TMhelix(356-378)|TMhelix(388-405)|glyco_like_mftF(423-610)
tr|D8F188|D8F188_9DELT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(12-34)|TMhelix(54-76)|TMhelix(88-105)|TMhelix(176-198)|TMhelix(251-273)|TMhelix(280-299)|TMhelix(334-356)|TMhelix(369-391)|TMhelix(406-428)|TMhelix(433-455)|glyco_like_mftF(470-668)
tr|S7UPX1|S7UPX1_9DELT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(27-49)|TMhelix(56-75)|TMhelix(155-177)|TMhelix(182-204)|TMhelix(224-246)|TMhelix(259-281)|TMhelix(301-323)|TMhelix(330-352)|TMhelix(362-381)|TMhelix(388-410)|GT_2_like_a(426-634)
tr|A0A2A2FA12|A0A2A2FA12_9GAMM	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|TMhelix|GT-A|TMhelix	TMhelix(9-28)|TMhelix(32-54)|TMhelix(67-89)|TMhelix(99-114)|TMhelix(121-143)|TMhelix(158-177)|TMhelix(182-204)|TMhelix(209-223)|TMhelix(230-252)|RfaL(202-401)|TMhelix(324-345)|TMhelix(358-380)|TMhelix(385-407)|Beta4Glucosyltransferase(418-645)|TMhelix(614-636)
tr|S7VF18|S7VF18_9DELT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(26-48)|TMhelix(55-74)|TMhelix(147-169)|TMhelix(178-200)|TMhelix(220-242)|TMhelix(251-273)|TMhelix(293-315)|TMhelix(328-350)|TMhelix(382-404)|glyco_like_mftF(428-657)
tr|N6WNE5|N6WNE5_9ALTE	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Ligase|TMhelix|TMhelix|TMhelix|GT-A|TMhelix	TMhelix(10-32)|TMhelix(52-74)|TMhelix(79-101)|TMhelix(106-123)|TMhelix(146-168)|TMhelix(181-200)|TMhelix(204-221)|TMhelix(226-243)|Wzy_C(191-334)|TMhelix(326-348)|TMhelix(355-374)|TMhelix(384-403)|Beta4Glucosyltransferase(414-641)|TMhelix(610-632)
