tr|H3ENF7|H3ENF7_PRIPA	TUDOR|GT-A|Lectin	TUDOR(65-179)|pp-GalNAc-T(479-725)|Ricin_B_lectin(747-856)
tr|A0A2A2LCG3|A0A2A2LCG3_9BILA	TT_ORF1|GT-A|Lectin	TT_ORF1(589-637)|pp-GalNAc-T(991-1295)|Ricin_B_lectin(1311-1432)
tr|B4QNM3|B4QNM3_DROSI	Trypan_PARP|GT-A|Lectin	Trypan_PARP(45-124)|pp-GalNAc-T(205-467)|Ricin_B_lectin(485-610)
sp|Q8MRC9|GALT9_DROME	TMhelix|tolA|GT-A|Lectin	TMhelix(12-31)|tolA(91-134)|pp-GalNAc-T(213-510)|Ricin_B_lectin(523-640)
tr|B4QIE5|B4QIE5_DROSI	TMhelix|tolA|GT-A|Lectin	TMhelix(12-31)|tolA(91-134)|pp-GalNAc-T(213-510)|Ricin_B_lectin(523-640)
tr|A0A2A7NAH4|A0A2A7NAH4_9MYCO	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|Transporter|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|APH|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(114-136)|TMhelix(151-173)|TMhelix(185-207)|TMhelix(222-244)|TMhelix(251-273)|TMhelix(278-300)|RfbX(128-509)|TMhelix(330-352)|TMhelix(357-379)|TMhelix(403-425)|TMhelix(430-452)|TMhelix(459-481)|TMhelix(485-507)|TMhelix(527-544)|APH(608-791)|Glycos_transf_2(935-1097)|TMhelix(1207-1229)|TMhelix(1250-1269)|TMhelix(1284-1306)|TMhelix(1313-1335)|TMhelix(1394-1413)|TMhelix(1420-1437)|TMhelix(1441-1459)|TMhelix(1480-1502)|TMhelix(1517-1539)|TMhelix(1603-1620)|TMhelix(1624-1646)|TMhelix(1658-1677)
tr|A0A1Q9EQB7|A0A1Q9EQB7_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|MT|TMhelix|TMhelix|GT-A	TMhelix(208-230)|TMhelix(243-265)|TMhelix(285-304)|TMhelix(366-388)|TMhelix(442-464)|TMhelix(641-663)|TMhelix(668-690)|TMhelix(839-861)|TMhelix(868-890)|TMhelix(895-917)|TMhelix(924-946)|TMhelix(1035-1057)|TMhelix(1061-1083)|TMhelix(1090-1112)|Methyltransf_25(1473-1540)|TMhelix(1602-1621)|TMhelix(1626-1645)|Glyco_tranf_GTA_type(2014-2307)
tr|A0A232FC67|A0A232FC67_9HYME	TMhelix|TMhelix|TMhelix|TMhelix|MFS|TMhelix|TMhelix|TMhelix|GT-A|Lectin	TMhelix(35-57)|TMhelix(72-94)|TMhelix(103-122)|TMhelix(127-149)|MFS(35-326)|TMhelix(236-258)|TMhelix(278-297)|TMhelix(304-326)|pp-GalNAc-T(433-737)|Ricin_B_lectin(751-874)
tr|A0A1B0FIL3|A0A1B0FIL3_GLOMM	TMhelix|TMhelix|TMhelix|tetraspanin_LEL|TMhelix|GT-A|Lectin	TMhelix(5-27)|TMhelix(32-54)|TMhelix(59-81)|tetraspanin_LEL(79-161)|TMhelix(288-310)|pp-GalNAc-T(431-732)|Ricin_B_lectin(793-935)
tr|A0A023B4P0|A0A023B4P0_GRENI	TMhelix|TMhelix|TMhelix|PTZ00395|GT-A|Lectin	TMhelix(13-32)|TMhelix(42-59)|TMhelix(72-94)|PTZ00395(257-330)|Glyco_tranf_GTA_type(203-609)|RICIN(623-708)
tr|C5K8F7|C5K8F7_PERM5	TMhelix|TMhelix|TMhelix|GT-A|Lectin|Lectin|Lectin|Lectin	TMhelix(13-30)|TMhelix(34-56)|TMhelix(63-85)|Glyco_tranf_GTA_type(130-418)|Ricin_B_lectin(436-587)|Ricin_B_lectin(572-708)|Ricin_B_lectin(676-791)|Ricin_B_lectin(759-835)
