tr|A0A132A417|A0A132A417_SARSC	vWFA|EGF_2|EGF_2|Integrin_b_cyt|GT-A	vWFA(5-179)|EGF_2(233-264)|EGF_2(271-300)|Integrin_b_cyt(445-485)|Galactosyl_T(514-699)
tr|K7EZ48|K7EZ48_PELSI	Ubiquitin_like_fold|GT-A	Ubiquitin_like_fold(43-101)|Galactosyl_T(143-334)
tr|A0A182FK56|A0A182FK56_ANOAL	UBA_like_SF|GT-A	UBA_like_SF(407-445)|Galactosyl_T(855-1034)
tr|A0A1Q9D1M0|A0A1Q9D1M0_SYMMI	TroA-like|AANH_like|DadA|GT-A	TroA-like(8-165)|AANH_like(545-748)|DadA(744-857)|Galactosyl_T(1040-1237)
tr|B4HYE9|B4HYE9_DROSE	TMhelix|YqfQ|GT-A	TMhelix(13-35)|YqfQ(220-320)|Galactosyl_T(356-542)
tr|A0A164Y0Z2|A0A164Y0Z2_9CRUS	TMhelix|Wtap|GT-A	TMhelix(30-52)|Wtap(54-165)|Galactosyl_T(256-447)
tr|A0A1I8CFK1|A0A1I8CFK1_9BILA	TMhelix|TMhelix|TMhelix|TMhelix|MFS_1|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(21-43)|TMhelix(53-75)|TMhelix(82-104)|TMhelix(138-160)|MFS_1(24-355)|TMhelix(211-230)|TMhelix(240-262)|TMhelix(279-298)|TMhelix(302-324)|TMhelix(336-358)|Galactosyl_T(450-626)
tr|A0A0K3CAG9|A0A0K3CAG9_RHOTO	TMhelix|TMhelix|TMhelix|TMhelix|GT|TMhelix|GT-A|GT|GT-A	TMhelix(42-64)|TMhelix(96-118)|TMhelix(125-147)|TMhelix(157-179)|EOS1(94-246)|TMhelix(225-247)|Galactosyl_T(308-497)|Gly_transf_sug(701-747)|OCH1(729-803)
tr|A0A1Y2GMH5|A0A1Y2GMH5_9FUNG	TMhelix|TMhelix|TMhelix|TMhelix|GT|TMhelix|GT-A|GT|GT-A	TMhelix(21-43)|TMhelix(67-89)|TMhelix(102-124)|TMhelix(128-150)|EOS1(65-216)|TMhelix(194-216)|Galactosyl_T(291-459)|Gly_transf_sug(602-703)|Gb3_synth(764-852)
tr|A0A238FNF8|A0A238FNF8_9BASI	TMhelix|TMhelix|TMhelix|TMhelix|GT|TMhelix|GT-A|GT|GT-A	TMhelix(321-343)|TMhelix(378-400)|TMhelix(407-429)|TMhelix(439-461)|EOS1(376-528)|TMhelix(507-529)|Galactosyl_T(589-781)|Gly_transf_sug(992-1048)|OCH1(1011-1087)
tr|C3YA16|C3YA16_BRAFL	TMhelix|TMhelix|TMhelix|TMhelix|7tmA_Histamine_H3R_H4R|TMhelix|TMhelix|TMhelix|TMhelix|GT-A	TMhelix(10-32)|TMhelix(44-66)|TMhelix(81-103)|TMhelix(123-145)|7tmA_Histamine_H3R_H4R(8-290)|TMhelix(165-187)|TMhelix(231-253)|TMhelix(268-290)|TMhelix(338-360)|Galactosyl_T(474-669)
tr|A0A1C7N938|A0A1C7N938_9FUNG	TMhelix|TMhelix|TMhelix|GT|TMhelix|TMhelix|GT-A	TMhelix(21-43)|TMhelix(58-80)|TMhelix(93-115)|EOS1(59-178)|TMhelix(120-142)|TMhelix(163-185)|Galactosyl_T(234-424)
tr|A0A1C7NL76|A0A1C7NL76_9FUNG	TMhelix|TMhelix|TMhelix|GT|TMhelix|TMhelix|GT-A	TMhelix(38-60)|TMhelix(75-94)|TMhelix(107-129)|EOS1(76-163)|TMhelix(139-161)|TMhelix(182-204)|Galactosyl_T(248-434)
tr|A0A125PHN9|A0A125PHN9_9BASI	TMhelix|TMhelix|TMhelix|GT|TMhelix|GT-A|GT|GT-A	TMhelix(52-70)|TMhelix(77-99)|TMhelix(114-136)|EOS1(50-202)|TMhelix(181-203)|Galactosyl_T(289-458)|Gly_transf_sug(671-727)|Gb3_synth(767-858)
