tr|B1ZZR4|B1ZZR4_OPITP	Zn_Tnp_IS1595|GT-A|TMhelix	Zn_Tnp_IS1595(21-49)|DPM_DPG-synthase_like(268-456)|TMhelix(398-420)
tr|A0A1J1HKY7|A0A1J1HKY7_9DIPT	zf-AD|COG5236|SFP1|GT-A	zf-AD(4-75)|COG5236(262-408)|SFP1(410-490)|PLN02726(505-739)
tr|A0A182WGT8|A0A182WGT8_9DIPT	YhcM|GT-A	YhcM(46-401)|PLN02726(452-686)
tr|A0A182X786|A0A182X786_ANOQN	YhcM|GT-A	YhcM(50-438)|PLN02726(444-647)
tr|A0A1G1Q0Z8|A0A1G1Q0Z8_9BACT	UbiG|GT-A	UbiG(6-160)|DPM_DPG-synthase_like(234-389)
tr|E0UL20|E0UL20_CYAP2	UbiG|GT-A	UbiG(60-220)|DPM_DPG-synthase_like(273-449)
tr|A0A286TWV4|A0A286TWV4_9BACT	type_IV_pilW|GT-A|TMhelix|TMhelix	type_IV_pilW(24-189)|DPM1_like_bac(261-444)|TMhelix(500-522)|TMhelix(529-551)
tr|Q726U3|Q726U3_DESVH	type_IV_pilW|GT-A|TMhelix|TMhelix	type_IV_pilW(29-202)|DPM1_like_bac(251-434)|TMhelix(486-508)|TMhelix(515-537)
tr|A0A1Q7SAA2|A0A1Q7SAA2_9CHLR	Trm112p|GT-A|MT|SmtA	Trm112p(4-44)|Glyco_tranf_GTA_type(60-257)|Methyltransf_11(321-406)|SmtA(269-496)
tr|A0A1Q7TSK6|A0A1Q7TSK6_9CHLR	Trm112p|GT-A|MT|SmtA	Trm112p(4-44)|Glyco_tranf_GTA_type(60-257)|Methyltransf_11(321-406)|SmtA(269-496)
tr|A0A1U9KUC8|A0A1U9KUC8_9PROT	TPR_19|GT-A|GT-B	TPR_19(27-80)|Glyco_tranf_GTA_type(336-550)|GT4_PimA-like(611-953)
tr|A0A146G6Y5|A0A146G6Y5_9BACT	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|YfhO|GT-A	TMhelix(84-106)|TMhelix(113-135)|TMhelix(139-161)|TMhelix(189-206)|TMhelix(213-235)|TMhelix(284-306)|TMhelix(319-341)|TMhelix(356-378)|TMhelix(385-407)|TMhelix(422-444)|TMhelix(451-468)|YfhO(686-737)|DPM1_like(801-1025)
