tr|A0A1H3YPM5|A0A1H3YPM5_9FIRM	YscO|GT-A|GT-A	YscO(26-78)|Glyco_tranf_GTA_type(131-336)|GT_2_like_c(398-623)
tr|K9DFA5|K9DFA5_9BURK	YjgF_YER057c_UK114_family|GT-A|GT-A	YjgF_YER057c_UK114_family(1-73)|Glyco_tranf_GTA_type(332-430)|Glyco_tranf_GTA_type(493-706)
tr|A0A1U6J5W3|A0A1U6J5W3_9ENTR	YjbI|GT-A	YjbI(27-106)|WcaA(119-388)
tr|A0A2D3UE83|A0A2D3UE83_STRC0	YigB|GT-A|GT-A	YigB(26-243)|Glyco_tranf_GTA_type(403-495)|Glyco_tranf_GTA_type(540-599)
tr|S7TIV5|S7TIV5_9DELT	YgiQ|GT-A|GT-A|GT-B	YgiQ(22-368)|Glyco_tranf_GTA_type(463-663)|Glycos_transf_2(914-1063)|GT4_PimA-like(1195-1542)
tr|A1AUB0|A1AUB0_PELPD	YgiQ|GT-A|GT-A|GT-A	YgiQ(232-584)|Glyco_tranf_GTA_type(627-827)|Glycos_transf_2(876-985)|WcaA(873-1107)
tr|C1DKU1|C1DKU1_AZOVD	YfgC|Spy|GT-A	YfgC(2-125)|Spy(86-605)|Glycos_transf_2(959-1125)
tr|A8TR17|A8TR17_9PROT	YfgC|GT-A	YfgC(89-207)|Glyco_tranf_GTA_type(287-458)
tr|S7UGS2|S7UGS2_9DELT	YfgC|GT-A	YfgC(153-245)|GT2(267-485)
tr|A0A2T4JEI9|A0A2T4JEI9_RHOBL	YbbN|GT-A	YbbN(280-350)|Glyco_tranf_GTA_type(434-616)
tr|A0A071M1R5|A0A071M1R5_9ENTR	wcaE	wcaE(3-250)
tr|A0A084ZLB6|A0A084ZLB6_9ENTR	wcaE	wcaE(1-248)
tr|A0A085G9W9|A0A085G9W9_9ENTR	wcaE	wcaE(1-250)
tr|A0A090UY12|A0A090UY12_ESCVU	wcaE	wcaE(1-248)
tr|A0A0J8VMS5|A0A0J8VMS5_9ENTR	wcaE	wcaE(1-250)
tr|A0A0L0ARQ9|A0A0L0ARQ9_9ENTR	wcaE	wcaE(1-248)
tr|A0A285JVP7|A0A285JVP7_9ENTR	wcaE	wcaE(1-248)
tr|A0A2P8VK08|A0A2P8VK08_9ENTR	wcaE	wcaE(1-250)
tr|A4WCA5|A4WCA5_ENT38	wcaE	wcaE(2-249)
tr|A7MHG1|A7MHG1_CROS8	wcaE	wcaE(1-250)
tr|A8AEG9|A8AEG9_CITK8	wcaE	wcaE(1-248)
tr|A9MKZ1|A9MKZ1_SALAR	wcaE	wcaE(1-248)
tr|H5V0N1|H5V0N1_ATLHE	wcaE	wcaE(1-250)
tr|H9L470|H9L470_SALTY	wcaE	wcaE(1-248)
tr|S3IT98|S3IT98_9ENTR	wcaE	wcaE(1-250)
tr|V5AZX0|V5AZX0_ENTCL	wcaE	wcaE(1-248)
tr|G5IAE7|G5IAE7_9CLOT	Utp11|GT-A|GT-B|stp1	Utp11(221-374)|GT_2_like_c(407-616)|GT4_PimA-like(673-1027)|stp1(867-1026)
tr|A9VB29|A9VB29_MONBE	UPF0203|GT-A	UPF0203(3-58)|Glyco_tranf_GTA_type(336-557)
tr|A0A2P6KDS9|A0A2P6KDS9_NEPCL	Unknown|GT-A|GT-A|PRK08869	DUF563(142-355)|Glyco_tranf_GTA_type(433-647)|WcaA(730-767)|PRK08869(808-1049)
tr|A0A087DEF2|A0A087DEF2_9BIFI	Uncharacterized|GT-A|GT-A	DUF4422(6-246)|GT2_RfbC_Mx_like(555-755)|GT_2_like_c(815-1033)
tr|A0A087EI25|A0A087EI25_9BIFI	Uncharacterized|GT-A|GT-A	DUF4422(4-246)|GT2_RfbC_Mx_like(560-760)|GT_2_like_c(820-1040)
tr|A0A261EX27|A0A261EX27_9BIFI	Uncharacterized|GT-A|GT-A	DUF4422(12-252)|GT2_RfbC_Mx_like(566-766)|GT_2_like_c(846-1064)
tr|A0A261F080|A0A261F080_9BIFI	Uncharacterized|GT-A|GT-A	DUF4422(24-230)|GT2_RfbC_Mx_like(581-787)|GT_2_like_c(849-1068)
tr|A0A2G9YRA2|A0A2G9YRA2_9BACT	Ugd|GT-A|TMhelix|TMhelix|TMhelix	Ugd(1-447)|Glyco_tranf_GTA_type(467-721)|TMhelix(713-732)|TMhelix(764-786)|TMhelix(796-818)
tr|D1YX49|D1YX49_METPS	Ugd|GT-A|GT-A	Ugd(40-246)|Glyco_tranf_GTA_type(261-342)|BcsA(236-447)
tr|E1REU4|E1REU4_METP4	Ugd|GT-A	Ugd(52-255)|Glycos_transf_2(273-437)
tr|A0A1H0A2W5|A0A1H0A2W5_9PSEU	UbiG|Smc|GT-A	UbiG(31-233)|Smc(451-677)|GT_2_like_d(876-1088)
tr|A0A2A9CGE9|A0A2A9CGE9_9BACI	UbiG|GT-A|MT	UbiG(33-144)|GT2_RfbC_Mx_like(355-557)|AdoMet_MTases(912-983)
tr|A0A258FGS6|A0A258FGS6_9CAUL	type_IV_pilW|GT-A|GT-A|MT	type_IV_pilW(41-136)|GT2_RfbC_Mx_like(374-577)|GT_2_like_c(636-853)|AdoMet_MTases(1071-1105)
tr|A0A239EWV5|A0A239EWV5_9FIRM	type_IV_pilW|GT-A|GT-A	type_IV_pilW(44-136)|Glyco_tranf_GTA_type(150-263)|GT2(142-442)
tr|A0A1E7HXV2|A0A1E7HXV2_9DELT	type_IV_pilW|GT-A	type_IV_pilW(180-240)|GT2(266-517)
tr|A0A1G9FTH8|A0A1G9FTH8_9DELT	type_IV_pilW|GT-A	type_IV_pilW(118-254)|GT2(266-517)
tr|A0A2S0UIG0|A0A2S0UIG0_9RHOB	type_IV_pilW|GT-A	type_IV_pilW(28-217)|Glyco_tranf_GTA_type(274-492)
tr|R4T3T4|R4T3T4_AMYOR	type_I_hlyD|GT-A	type_I_hlyD(20-83)|Glyco_tranf_GTA_type(129-257)
tr|E1L1V3|E1L1V3_9ACTN	Trypan_PARP|GT-A	Trypan_PARP(2-94)|Glycos_transf_2(119-282)
