tr|A0A1J1I7L4|A0A1J1I7L4_9DIPT	Zona_pellucida|TMhelix|GT-A	Zona_pellucida(1-241)|TMhelix(359-378)|GT13_GLCNAC-TI(469-796)
tr|A0A182HMF8|A0A182HMF8_ANOAR	zf-C2H2|zf-H2C2_2|TMhelix|GT-A	zf-C2H2(89-111)|zf-H2C2_2(104-128)|TMhelix(185-204)|GT13_GLCNAC-TI(342-669)
tr|A0A182FEL4|A0A182FEL4_ANOAL	zf-C2H2|COG5048|zf-H2C2_2|TMhelix|GT-A	zf-C2H2(109-131)|COG5048(68-221)|zf-H2C2_2(373-398)|TMhelix(466-485)|GT13_GLCNAC-TI(608-938)
tr|A0A182N7W6|A0A182N7W6_9DIPT	zf-AD|zf-H2C2_2|zf-C2H2_6|zf-H2C2_2|PHA00732|TMhelix|GT-A	zf-AD(13-81)|zf-H2C2_2(204-228)|zf-C2H2_6(217-241)|zf-H2C2_2(260-286)|PHA00732(323-369)|TMhelix(424-443)|GT13_GLCNAC-TI(583-911)
tr|A0A182XD27|A0A182XD27_ANOQN	zf-AD|COG5236|zf-C2H2|zf-H2C2_2|TMhelix|GT-A	zf-AD(13-76)|COG5236(174-330)|zf-C2H2(335-357)|zf-H2C2_2(350-374)|TMhelix(410-429)|GT13_GLCNAC-TI(568-895)
tr|A0A151WQN3|A0A151WQN3_9HYME	TMhelix|Topo_C_assoc|TMhelix|GT-A	TMhelix(28-47)|Topo_C_assoc(49-139)|TMhelix(214-231)|GT13_GLCNAC-TI(155-510)
tr|A0A151J3T7|A0A151J3T7_9HYME	TMhelix|Topo_C_assoc|GT-A	TMhelix(20-37)|Topo_C_assoc(39-144)|GT13_GLCNAC-TI(163-490)
tr|A0A158NYY3|A0A158NYY3_ATTCE	TMhelix|Topo_C_assoc|GT-A	TMhelix(28-47)|Topo_C_assoc(49-154)|GT13_GLCNAC-TI(173-500)
tr|A0A195D0W8|A0A195D0W8_9HYME	TMhelix|Topo_C_assoc|GT-A	TMhelix(28-47)|Topo_C_assoc(49-154)|GT13_GLCNAC-TI(173-500)
tr|F4W566|F4W566_ACREC	TMhelix|Topo_C_assoc|GT-A	TMhelix(5-24)|Topo_C_assoc(27-131)|GT13_GLCNAC-TI(150-477)
tr|A0A151I5B7|A0A151I5B7_9HYME	TMhelix|TMhelix|Topo_C_assoc|GT-A	TMhelix(27-49)|TMhelix(56-75)|Topo_C_assoc(77-182)|GT13_GLCNAC-TI(201-528)
tr|A0A1Q9ETZ6|A0A1Q9ETZ6_SYMMI	TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|GT-A|ChtBD1	TMhelix(13-44)|TMhelix(59-81)|TMhelix(283-305)|TMhelix(421-443)|TMhelix(463-485)|TMhelix(524-546)|TMhelix(635-657)|Glyco_tranf_GTA_type(889-1152)|ChtBD1(1346-1380)
tr|A0A0V0RHI6|A0A0V0RHI6_9BILA	TMhelix|TMhelix|TMhelix|GT-A	TMhelix(37-59)|TMhelix(89-111)|TMhelix(164-186)|GT13_GLCNAC-TI(261-590)
tr|A0A2C9M4W7|A0A2C9M4W7_BIOGL	TMhelix|TMhelix|GT-A	TMhelix(10-29)|TMhelix(158-180)|Glyco_tranf_GTA_type(92-454)
tr|F0ZSW2|F0ZSW2_DICPU	TMhelix|TMF_DNA_bd|TMhelix|GT-A	TMhelix(10-29)|TMF_DNA_bd(32-91)|TMhelix(121-140)|Glyco_tranf_GTA_type(153-453)
tr|K7J882|K7J882_NASVI	TMhelix|Tar_Tsr_LBD|GT-A	TMhelix(7-26)|Tar_Tsr_LBD(31-94)|GT13_GLCNAC-TI(144-475)
tr|A0A158PXC1|A0A158PXC1_BRUMA	TMhelix|SOGA|GT-A	TMhelix(7-29)|SOGA(47-95)|Glyco_tranf_GTA_type(110-445)
tr|F4PZE4|F4PZE4_CAVFA	TMhelix|SMC_prok_B|GT-A	TMhelix(7-26)|SMC_prok_B(26-136)|Glyco_tranf_GTA_type(137-468)
tr|L1I7S5|L1I7S5_GUITH	TMhelix|PRK07764|GT-A	TMhelix(7-29)|PRK07764(76-153)|Glyco_tranf_GTA_type(151-438)
tr|W4Z688|W4Z688_STRPU	TMhelix|PRK02224|GT-A	TMhelix(5-24)|PRK02224(28-110)|Glyco_tranf_GTA_type(120-423)
tr|A0A195FUP9|A0A195FUP9_9HYME	TMhelix|Not3|GT-A	TMhelix(5-24)|Not3(25-113)|GT13_GLCNAC-TI(142-476)
tr|A0A087ZQX0|A0A087ZQX0_APIME	TMhelix|Mplasa_alph_rch|GT-A	TMhelix(5-24)|Mplasa_alph_rch(24-113)|GT13_GLCNAC-TI(141-468)
tr|E2AZ38|E2AZ38_CAMFO	TMhelix|Mplasa_alph_rch|GT-A	TMhelix(41-60)|Mplasa_alph_rch(58-151)|GT13_GLCNAC-TI(184-511)
tr|A0A1W0WDP0|A0A1W0WDP0_HYPDU	TMhelix|ILEI|GT-A	TMhelix(13-30)|ILEI(78-157)|Glyco_tranf_GTA_type(263-592)
tr|A0A1S3ICP5|A0A1S3ICP5_LINUN	TMhelix|GT|GT|GT-A	TMhelix(13-32)|PANDER_like(116-280)|PANDER_like(312-474)|Glyco_tranf_GTA_type(534-862)
tr|A0A067RFT1|A0A067RFT1_ZOONE	TMhelix|GT|GT-A	TMhelix(46-68)|PANDER_GnT-1_2_like(122-253)|Glyco_tranf_GTA_type(308-635)
tr|A0A0D2UM96|A0A0D2UM96_CAPO3	TMhelix|GT|GT-A	TMhelix(21-43)|PANDER_GnT-1_2_like(176-327)|Glyco_tranf_GTA_type(385-748)
