tr|L1JYB0|L1JYB0_GUITH	TPR_12|PilF|GT-A	TPR_12(238-292)|PilF(267-324)|Glyco_transf_15(372-647)
tr|G8BGU4|G8BGU4_CANPC	TMhelix|tolA|GT-A	TMhelix(13-35)|tolA(56-192)|KTR1(156-482)
tr|A0A1E4RQD4|A0A1E4RQD4_9ASCO	TMhelix|tolA_full|GT-A	TMhelix(9-26)|tolA_full(9-114)|KTR1(81-447)
tr|A0A2P6NJE8|A0A2P6NJE8_9MYCE	TMhelix|TMhelix|GT-A|Ribosomal_L19e	TMhelix(4-21)|TMhelix(42-64)|Glyco_transf_15(82-384)|Ribosomal_L19e(432-478)
tr|A0A166SJB3|A0A166SJB3_9PEZI	TMhelix|TMhelix|GT-A	TMhelix(22-44)|TMhelix(57-79)|KTR1(56-473)
tr|A0A166ZV64|A0A166ZV64_9PEZI	TMhelix|TMhelix|GT-A	TMhelix(23-45)|TMhelix(82-104)|KTR1(81-498)
tr|A0A1D8PH51|A0A1D8PH51_CANAL	TMhelix|TMhelix|GT-A	TMhelix(25-47)|TMhelix(68-90)|KTR1(77-472)
tr|F7W626|F7W626_SORMK	TMhelix|TMhelix|GT-A	TMhelix(10-29)|TMhelix(49-71)|KTR1(49-436)
tr|G0S200|G0S200_CHATD	TMhelix|TMhelix|GT-A	TMhelix(36-55)|TMhelix(68-90)|KTR1(97-462)
tr|S0DNH1|S0DNH1_GIBF5	TMhelix|PRK14959|GT-A	TMhelix(7-26)|PRK14959(12-168)|KTR1(142-462)
tr|C7Z6Q0|C7Z6Q0_NECH7	TMhelix|PRK13108|GT-A	TMhelix(7-26)|PRK13108(43-143)|KTR1(143-463)
tr|A0A179HI65|A0A179HI65_9HYPO	TMhelix|PRK12495|GT-A	TMhelix(7-26)|PRK12495(31-145)|KTR1(101-438)
tr|A0A098DQC7|A0A098DQC7_GIBZE	TMhelix|PRK07764|GT-A	TMhelix(7-26)|PRK07764(68-148)|KTR1(147-467)
tr|A0A1E4SUA7|A0A1E4SUA7_9ASCO	TMhelix|PIG-S|GT-A	TMhelix(19-41)|PIG-S(31-441)|KTR1(484-805)
tr|A0A0D2XWP1|A0A0D2XWP1_FUSO4	TMhelix|PHA03291|GT-A	TMhelix(7-26)|PHA03291(15-136)|KTR1(149-469)
tr|A0A2H3HNG8|A0A2H3HNG8_FUSOX	TMhelix|PHA03291|GT-A	TMhelix(7-26)|PHA03291(15-136)|KTR1(149-469)
tr|F9FME1|F9FME1_FUSOF	TMhelix|PHA03291|GT-A	TMhelix(7-26)|PHA03291(15-136)|KTR1(149-469)
tr|N1REC3|N1REC3_FUSC4	TMhelix|PHA03291|GT-A	TMhelix(7-26)|PHA03291(15-136)|KTR1(149-469)
tr|N4TZJ3|N4TZJ3_FUSC1	TMhelix|PHA03291|GT-A	TMhelix(7-26)|PHA03291(15-136)|KTR1(149-469)
tr|A0A1B8AFZ0|A0A1B8AFZ0_FUSPO	TMhelix|PHA03247|GT-A	TMhelix(7-26)|PHA03247(34-147)|KTR1(148-468)
tr|A0A2H3TSY2|A0A2H3TSY2_FUSOX	TMhelix|PHA03247|GT-A	TMhelix(7-26)|PHA03247(32-146)|KTR1(142-462)
tr|A0A2K0VZV7|A0A2K0VZV7_GIBNY	TMhelix|PHA03247|GT-A	TMhelix(7-26)|PHA03247(32-153)|KTR1(149-469)
tr|W7MCY7|W7MCY7_GIBM7	TMhelix|PHA03247|GT-A	TMhelix(7-26)|PHA03247(32-146)|KTR1(142-462)
tr|A0A1S3HQA8|A0A1S3HQA8_LINUN	TMhelix|Med15|GT-A	TMhelix(21-43)|Med15(84-207)|Glyco_transf_15(297-576)
tr|A0A2K3QHY0|A0A2K3QHY0_9HYPO	TMhelix|Herpes_LMP2|GT-A	TMhelix(7-26)|Herpes_LMP2(38-99)|KTR1(114-444)
tr|A0A286UA52|A0A286UA52_9HOMO	TMhelix|GT-A|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix|TMhelix	TMhelix(21-40)|KTR1(83-377)|TMhelix(475-494)|TMhelix(509-531)|TMhelix(550-572)|TMhelix(610-632)|TMhelix(666-685)|TMhelix(705-724)
tr|A0A163JX91|A0A163JX91_ABSGL	TMhelix|GT-A|TMhelix|TMhelix|Lnt|Acyltransferase|TMhelix	TMhelix(41-63)|Glyco_transf_15(129-415)|TMhelix(519-541)|TMhelix(562-584)|Lnt(466-863)|nitrilase(632-801)|TMhelix(835-857)
tr|A0A1Y2DJ01|A0A1Y2DJ01_9PEZI	TMhelix|GT-A|TMhelix|TMhelix	TMhelix(12-34)|Glyco_transf_15(42-392)|TMhelix(429-451)|TMhelix(458-475)
tr|A0A163IW01|A0A163IW01_DIDRA	TMhelix|GT-A|TMhelix	TMhelix(7-26)|KTR1(95-413)|TMhelix(421-443)
tr|A0A1Q3EJF9|A0A1Q3EJF9_LENED	TMhelix|GT-A|TMhelix	TMhelix(10-32)|KTR1(46-289)|TMhelix(300-322)
tr|A0A1S3HAC4|A0A1S3HAC4_LINUN	TMhelix|GT-A|TMhelix	TMhelix(12-34)|Glyco_transf_15(70-328)|TMhelix(347-369)
tr|A0A1S3HMH0|A0A1S3HMH0_LINUN	TMhelix|GT-A|TMhelix	TMhelix(13-32)|Glyco_transf_15(65-322)|TMhelix(339-361)
tr|A0A1S3HNV2|A0A1S3HNV2_LINUN	TMhelix|GT-A|TMhelix	TMhelix(12-31)|Glyco_transf_15(70-328)|TMhelix(347-369)
tr|I2GYV6|I2GYV6_TETBL	TMhelix|GT-A|PTZ00121	TMhelix(94-116)|KTR1(140-473)|PTZ00121(650-929)
tr|W0T866|W0T866_KLUMD	TMhelix|GT-A|PRK03918	TMhelix(16-38)|Glyco_transf_15(181-448)|PRK03918(620-689)
tr|A0A1J8PFX9|A0A1J8PFX9_9HOMO	TMhelix|GT-A|GT-A	TMhelix(13-30)|KTR1(3-354)|KTR1(352-734)
tr|A0A1V2L5I9|A0A1V2L5I9_CYBFA	TMhelix|GT-A|GT-A	TMhelix(20-37)|Glyco_transf_15(101-355)|KTR1(441-753)
tr|A0A284QVB6|A0A284QVB6_9AGAR	TMhelix|GT-A|GT-A	TMhelix(12-30)|KTR1(69-368)|KTR1(373-775)
tr|W9CHK7|W9CHK7_9HELO	TMhelix|GT-A|Beta-lactamase	TMhelix(7-26)|KTR1(62-328)|Beta-lactamase(417-792)
sp|O42944|OMH2_SCHPO	TMhelix|GT-A	TMhelix(7-24)|KTR1(1-372)
sp|O74546|OMH3_SCHPO	TMhelix|GT-A	TMhelix(7-24)|KTR1(1-378)
sp|O94565|OMH4_SCHPO	TMhelix|GT-A	TMhelix(31-48)|KTR1(52-440)
sp|P26725|YUR1_YEAST	TMhelix|GT-A	TMhelix(7-24)|KTR1(7-424)
sp|P38131|KTR4_YEAST	TMhelix|GT-A	TMhelix(12-31)|KTR1(10-464)
sp|P40504|KTR7_YEAST	TMhelix|GT-A	TMhelix(21-43)|KTR1(7-490)
sp|P46592|MNT2_CANAL	TMhelix|GT-A	TMhelix(13-35)|KTR1(138-458)
sp|P53966|KTR5_YEAST	TMhelix|GT-A	TMhelix(12-34)|KTR1(6-499)
sp|P54070|KTR6_YEAST	TMhelix|GT-A	TMhelix(12-29)|KTR1(7-443)
sp|Q00310|MNT1_CANAL	TMhelix|GT-A	TMhelix(9-28)|KTR1(106-427)
sp|Q96WW1|OMH5_SCHPO	TMhelix|GT-A	TMhelix(20-42)|KTR1(13-421)
tr|A0A010QJD5|A0A010QJD5_9PEZI	TMhelix|GT-A	TMhelix(7-26)|KTR1(107-427)
